mag,len,wid,TMP,SPFH,PRES,UGRD,VGRD,DLWRF,CAPE,PEVAP,APCP,DSWRF,yr
2.0,32.02,800,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
2.0,18.55,500,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
2.0,2.77,200,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
3.0,0.01,1100,298.35,0.012322,91716.56,-0.75,3.8,362.75,323.072,0.0524,0.0,0.0,2010
0.0,17.05,200,302.05,0.010732,91661.44,-0.94,3.31,380.29,208.192,0.0767,0.0,0.0,2010
0.0,1.0,5,302.05,0.010732,91661.44,-0.94,3.31,380.29,208.192,0.0767,0.0,0.0,2010
0.0,0.39,30,307.54,0.0108225,91630.33,-0.93,3.13,407.73,363.008,0.1873,0.0,31.024,2010
1.0,0.43,250,307.54,0.0108225,91630.33,-0.93,3.13,407.73,363.008,0.1873,0.0,31.024,2010
1.0,1.73,150,309.88,0.0112213,91680.97,-1.09,3.34,448.41,483.52,0.842,0.0,412.759,2010
2.0,18.1,200,310.61,0.0114724,91718.19,-1.14,3.75,448.41,537.024,1.1673,0.0,773.662,2010
1.0,5.45,100,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
0.0,0.87,125,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
1.0,10.57,150,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
1.0,2.06,75,306.89,0.0104463,91995.74,-2.76,5.64,414.79,554.24,0.995,0.0,744.118,2010
1.0,0.85,200,303.37,0.0105561,91839.98,-2.0,4.71,414.79,199.808,0.3125,0.0,440.164,2010
0.0,2.78,75,306.21,0.0097554,92393.44,-1.55,1.96,407.56,224.768,0.9169,0.0,753.11,2010
0.0,0.34,25,307.35004,0.0094469,92474.56,-1.34,-1.05,437.93,245.632,0.8684,0.0,851.669,2010
1.0,2.37,100,307.35004,0.0094469,92474.56,-1.34,-1.05,437.93,245.632,0.8684,0.0,851.669,2010
1.0,4.99,50,310.8,0.0096269,92478.17,-3.23,2.27,449.03,795.264,1.2637,0.0,887.673,2010
1.0,3.74,200,310.23,0.0101368,92482.59,-3.04,2.03,449.03,921.216,0.9589,0.0,853.972,2010
1.0,2.68,200,313.21,0.0072744,92042.96,-1.79,2.55,439.39,220.8,0.9711,0.0,652.093,2010
4.0,13.96,400,313.21,0.0072744,92042.96,-1.79,2.55,439.39,220.8,0.9711,0.0,652.093,2010
1.0,3.58,100,313.21,0.0072744,92042.96,-1.79,2.55,439.39,220.8,0.9711,0.0,652.093,2010
0.0,1.18,50,312.57,0.0077886,92149.6,-0.46,2.78,446.83,239.232,1.1585,0.0,777.533,2010
2.0,11.7,200,312.57,0.0077886,92149.6,-0.46,2.78,446.83,239.232,1.1585,0.0,777.533,2010
0.0,7.25,50,313.97,0.0061404,91880.32,0.15,4.68,427.93,20.992,1.0133,0.0,457.519,2010
1.0,1.69,40,313.97,0.0061404,91880.32,0.15,4.68,427.93,20.992,1.0133,0.0,457.519,2010
3.0,9.6,400,313.97,0.0061404,91880.32,0.15,4.68,427.93,20.992,1.0133,0.0,457.519,2010
2.0,1.68,200,313.97,0.0061404,91880.32,0.15,4.68,427.93,20.992,1.0133,0.0,457.519,2010
1.0,1.68,150,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
2.0,0.28,125,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
0.0,1.03,25,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
0.0,1.26,25,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
2.0,11.03,600,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
0.0,4.81,25,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
1.0,0.08,50,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
1.0,1.72,150,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
0.0,0.05,25,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
2.0,2.11,100,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
1.0,2.66,125,314.89,0.0064938003,91957.74,0.64,4.83,427.93,40.064,1.3367,0.0,820.283,2010
0.0,0.25,50,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
0.0,0.25,25,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
0.0,0.25,30,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
1.0,3.15,300,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
3.0,21.1,500,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
0.0,1.0,50,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
3.0,11.0,500,313.84,0.0071586003,91994.68,0.91,4.69,438.19,65.664,1.3367,0.0,894.064,2010
1.0,6.78,440,311.71005,0.0076262,92005.47,-2.53,5.04,386.57,11.648,1.0185,0.0,228.768,2010
1.0,6.36,100,311.71005,0.0076262,92005.47,-2.53,5.04,386.57,11.648,1.0185,0.0,228.768,2010
1.0,2.71,100,311.75,0.0087322,92171.94,-1.72,5.59,429.06,67.584,1.2774,0.0,822.843,2010
0.0,0.14,50,311.75,0.0087322,92171.94,-1.72,5.59,429.06,67.584,1.2774,0.0,822.843,2010
3.0,3.63,200,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
2.0,0.24,100,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
0.0,0.38,50,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
0.0,1.38,50,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
0.0,2.31,50,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
1.0,6.12,400,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
2.0,3.43,300,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
1.0,0.91,100,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
1.0,1.47,180,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
0.0,1.5,30,309.85,0.010067,92295.14,-1.07,6.41,434.61,203.648,1.2774,0.0,900.069,2010
0.0,1.53,100,304.08,0.0120144,92402.16,-1.06,7.56,399.18,267.008,0.9605,0.0,628.016,2010
1.0,2.74,100,304.08,0.0120144,92402.16,-1.06,7.56,399.18,267.008,0.9605,0.0,628.016,2010
1.0,2.75,200,304.08,0.0120144,92402.16,-1.06,7.56,399.18,267.008,0.9605,0.0,628.016,2010
0.0,2.31,200,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
2.0,5.0,200,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
3.0,4.29,250,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
2.0,5.01,440,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
1.0,4.05,75,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
0.0,2.43,100,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
0.0,0.1,10,312.68,0.0103937,91628.68,-2.38,3.99,459.84,603.776,1.0281,0.0,526.145,2010
0.0,0.25,20,313.27,0.0106224,91732.66,-2.16,3.59,459.84,765.184,1.2567,0.0,868.911,2010
0.0,0.51,50,301.07,0.0131108,91974.44,-2.1,3.64,379.19,698.176,0.1037,0.0,0.0,2010
0.0,1.05,50,306.13,0.0120959,91948.78,-2.9,1.17,397.33,771.456,0.3973,0.0,0.0,2010
0.0,0.9,50,309.69,0.0122311,92093.95,-2.61,-0.68,462.47,919.552,1.1673,0.0,927.007,2010
0.0,4.69,100,311.17,0.0093013,91941.4,-1.36,-1.5,457.11,200.128,0.941,0.0,639.543,2010
0.0,2.45,50,311.47,0.0086626,92087.02,-1.76,3.2,441.25,22.272,0.9966,0.0,719.45,2010
0.0,0.59,50,310.60004,0.0104991,91910.19,-2.95,4.41,453.31,667.392,1.0005,0.0,698.808,2010
0.0,1.92,150,309.87,0.0118891,92081.71,-0.14,3.74,460.27,1052.928,1.2184,0.0,942.174,2010
0.0,0.58,50,309.87,0.0118891,92081.71,-0.14,3.74,460.27,1052.928,1.2184,0.0,942.174,2010
0.0,3.35,50,309.87,0.0118891,92081.71,-0.14,3.74,460.27,1052.928,1.2184,0.0,942.174,2010
1.0,7.22,200,307.17,0.0136369,92151.08,0.66,4.46,431.81,1524.608,0.9097,0.0,809.248,2010
0.0,0.36,50,311.97,0.0080227,91670.5,-0.36,2.94,445.56,131.712,0.9594,0.2336,491.115,2010
0.0,2.56,50,298.18,0.0133007,92178.68,-3.87,3.4,365.46,19.264,0.1596,0.0,0.0,2010
0.0,0.73,25,306.26,0.0117832,91928.88,-5.01,1.44,431.46,278.208,0.3768,0.0,0.0,2010
0.0,1.36,50,306.26,0.0117832,91928.88,-5.01,1.44,431.46,278.208,0.3768,0.0,0.0,2010
0.0,4.9,440,305.69,0.0134773,92132.7,-3.77,1.72,438.87,667.392,0.9373,0.0,667.76,2010
